endpoint,summary,description letter count,current description,new description,new description size,questions,,,
GET /v1/destinations/{destinationId}/fingerprints/{hash},Retrieve Destination Fingerprint Details,76,Returns SSH fingerprint details approved for specified destination with specified hash,,,,,,
GET /v1/connections/{connectionId},Retrieve Connection Details,76,Returns a connection configuration and status details if a valid identifier was provided.,,,,,,
GET /v1/connections/{connectionId}/fingerprints/{hash},Retrieve Connection Fingerprint Details,75,Returns SSH fingerprint details approved for specified connection with specified hash,,,,,,
DELETE /v1/external-logging/{logId},Delete a Group Log Service,75,Deletes a group-level [logging service](/docs/logs/external-logs) from your Fivetran account.,,,,,,
GET /v1/external-secrets-managers,List all External Secrets Managers,73,Returns a list of all External Secrets Manager instances within your Fivetran account.,,,,,,
GET /v1/groups/{groupId}/users,List All Users within a Group,71,Returns a list of information about all users within a group in your Fivetran account.,,,,,,
PATCH /v1/external-logging/account,Update Account Log Service,70,Updates information for the account-level [logging service](/docs/logs/external-logs).,,,,,,
GET /v1/transformations/package-metadata,List All Quickstart Package Metadata,69,Returns a list of available Quickstart transformation package metadata details.,,,,,,
PATCH /v1/private-links/{privateLinkId},Update a Private Link,67,Updates information for an existing private link within your Fivetran account.,,,,,,
PATCH /v1/destinations/{destinationId},Update a Destination,67,Updates information for an existing destination within your Fivetran account.,,,,,,
DELETE /v1/webhooks/{webhookId},Delete a Webhook,66,This endpoint allows you to delete an existing webhook with a given identifier,,,,,,
PATCH /v1/webhooks/{webhookId},Update a Webhook,66,The endpoint allows you to update the existing webhook with a given identifier,,,,,,
POST /v1/destinations/{destinationId}/test,Run Destination Setup Tests,66,Runs the setup tests for an existing destination within your Fivetran account.,,,,,,
GET /v1/external-logging/account,Retrieve Account Log Service,66,Returns the account-level [logging service](/docs/logs/external-logs) if it exists.,,,,,,
GET /v1/roles,List all roles,66,Returns a list of all predefined and custom roles within your Fivetran account.,,,,,,
DELETE /v1/users/{userId}/role,Delete Account Role,66,"Removes a user's role from an account, but the user remains a member of the account.",,,,,,
POST /v1/external-secrets-managers,Create an External Secrets Manager,66,Creates a new External Secrets Manager instance within your Fivetran account.,,,,,,
POST /v1/transformations/{transformationId}/cancel,Cancel Running Transformation,66,Cancels the execution of the transformation if a valid identifier is provided.,,,,,,
PATCH /v1/external-secrets-managers/{esmId},Update an External Secrets Manager,65,Updates the configuration of an existing External Secrets Manager instance.,,,,,,
GET /v1/transformation-projects/{projectId},Retrieve Transformation Project Details,64,Returns transformation project details if a valid identifier was provided.,,,,,,
GET /v1/teams/{teamId}/users,List All User Memberships,64,Returns a list of users and their roles within a team in your Fivetran account,,,,,,
GET /v1/destinations,List All Destinations Within Account,64,Returns a list of all accessible destinations within your Fivetran account.,,,,,,
GET /v1/users/{userId}/connections,List All Connection Memberships,63,Returns all connection membership for a user within your Fivetran account.,,,,,,
GET /v1/connections,List All Connections,63,Returns a list of all accessible connections within your Fivetran account.,,,,,,
GET /v1/destinations/{destinationId}/fingerprints,List Fingerprints Approved for the Destination,62,Returns the list of approved SSH fingerprints for specified destination,,,,,,
GET /v1/destinations/{destinationId}/certificates,List Certificates Approved for the Destination,62,Returns the list of approved certificates for the specified destination.,,,,,,
PATCH /v1/groups/{groupId},Update a Group,61,Updates information for an existing group within your Fivetran account.,,,,,,
GET /v1/connections/{connectionId}/fingerprints,List Fingerprints Approved for the Connection,61,Returns the list of approved SSH fingerprints for specified connection,,,,,,
GET /v1/connections/{connectionId}/certificates,List Certificates Approved for the Connection,61,Returns the list of approved certificates for the specified connection.,,,,,,
PATCH /v1/users/{userId},Update a User,60,Updates information for an existing user within your Fivetran account.,,,,,,
PATCH /v1/teams/{teamId},Update a Team,60,Updates information for an existing team within your Fivetran account,,,,,,
POST /v1/webhooks/account,Create an Account Webhook,60,This endpoint allows you to create a new webhook for the current account.,,,,,,
GET /v1/external-secrets-managers/{esmId},Retrieve External Secrets Manager Details,59,Returns the details of an existing External Secrets Manager instance.,,,,,,
GET /v1/connector-sdk/packages,List All Connector SDK Packages,58,Returns a list of all Connector SDK packages in your Fivetran account.,,,,,,
PATCH /v1/transformation-projects/{projectId},Update Transformation Project,57,Updates transformation project if a valid identifier was provided.,,,,,,
GET /v1/transformations/{transformationId},Retrieve Transformation Details,57,Returns a transformation details if a valid identifier is provided.,,,,,,
GET /v1/transformations,List all Transformations,57,Returns a list of all transformations within your Fivetran account.,,,,,,
DELETE /v1/transformation-projects/{projectId},Delete Transformation Project,57,Deletes transformation project if a valid identifier was provided.,,,,,,
GET /v1/teams/{teamId},Retrieve Team Details,56,Returns information for a given team within your Fivetran account,,,,,,
DELETE /v1/external-logging/account,Delete Account Log Service,56,Deletes the account-level [logging service](/docs/logs/external-logs).,,,,,,
POST /v1/proxy/{agentId}/regenerate-secrets,Regenerate Secrets for Proxy Agent,55,Regenerate secrets for proxy agent within your Fivetran account.,,,,,,
POST /v1/external-logging/account,Create Account Log Service,55,Creates an account-level [logging service](/docs/logs/external-logs).,,,,,,
POST /v1/webhooks/group/{groupId},Create a Group Webhook,54,This endpoint allows you to create a new webhook for a given group,,,,,,
GET /v1/private-links/{privateLinkId},Retrieve Private Link Details,54,Returns a private link object if a valid identifier was provided.,,,,,,
GET /v1/users/{userId}/groups,List All Group Memberships,53,Returns the membership details for all groups a user belongs to.,,,,,,
GET /v1/proxy,List all Proxy Agents,53,Returns a list of all proxy agents within your Fivetran account.,,,,,,
PATCH /v1/transformations/{transformationId},Update a Transformation,52,Updates the transformation if a valid identifier is provided.,,,,,,
GET /v1/groups/{groupId}/public-key,Retrieve Group Public SSH Key,52,Returns public key from SSH key pair associated with the group.,,,,,,
DELETE /v1/groups/{groupId}/users/{userId},Remove a User from a Group,52,Removes an existing user from a group in your Fivetran account.,,,,,,
DELETE /v1/proxy/{agentId},Delete a Proxy Agent,52,Deletes the specified proxy agent from your Fivetran account.,,,,,,
PATCH /v1/system-keys/{keyId},Update a System Key,51,Updates an existing system key within your Fivetran account.,,,,,,
GET /v1/groups/{groupId}/service-account,Retrieve Group Service Account,51,Returns Fivetran service account associated with the group.,,,,,,
GET /v1/system-keys/{keyId},Retrieve System Key Details,50,Retrieves a system key object within your Fivetran account.,,,,,,
